c	t89_asm_qualifier.c	PASS
pl	t10_multi_stmt.pl	PASS
c	t90_simple_asm.c	PASS
pl	t11_external_cmd.pl	PASS
pl	t12_multi_word_echo.pl	PASS
c	t91_asm_operand.c	PASS
pl	t13_interp.pl	PASS
pl	t14_arith_add.pl	PASS
c	t92_toplevel_asm.c	PASS
pl	t15_arith_mul.pl	PASS
c	t93_dowhile_compound.c	PASS
pl	t16_if_cond.pl	PASS
c	t94_incdec.c	PASS
pl	t17_if_else.pl	PASS
pl	t18_elif_chain.pl	PASS
pl	t19_while_loop.pl	PASS
pl	t20_for_list.pl	PASS
pl	t21_array.pl	PASS
pl	t22_func_def.pl	PASS
pl	t23_func_args.pl	PASS
pl	t24_str_cat.pl	PASS
pl	t25_num_cmp.pl	PASS
pl	t26_str_cmp.pl	PASS
pl	t27_not_expr.pl	PASS
pl	t28_and_or.pl	PASS
pl	t29_increment.pl	PASS
pl	t30_ternary.pl	PASS
pl	t31_case_switch.pl	PASS
pl	t32_redirect.pl	PASS
pl	t33_pipe.pl	PASS
pl	t34_cmdsub.pl	PASS
pl	t35_exit_code.pl	PASS
pl	t36_read_stdin.pl	PASS
pl	t37_substring.pl	PASS
pl	t38_strlen.pl	PASS
pl	t39_arrlen.pl	PASS
pl	t40_nested_loop.pl	PASS
pl	t41_local_var.pl	PASS
pl	t42_global_mut.pl	PASS
pl	t43_heredoc.pl	PASS
pl	t44_background.pl	PASS
pl	t45_env_set.pl	PASS
pl	t46_printf.pl	PASS
pl	t47_multi_assign.pl	PASS
pl	t48_accum.pl	PASS
pl	t49_empty_check.pl	PASS
pl	t50_file_test.pl	PASS
pl	t51_arith_loop.pl	PASS
pl	t52_full_prog.pl	PASS
pl	t53_param_default.pl	PASS
pl	t54_str_subst.pl	PASS
pl	t55_array_elem.pl	PASS
pl	t56_array_append.pl	PASS
pl	t57_array_len.pl	PASS
pl	t58_seq_range.pl	PASS
pl	t59_until.pl	PASS
pl	t60_contains.pl	PASS
pl	t61_while_read.pl	PASS
pl	t64_prefix_suffix.pl	PASS
pl	t66_array_slice.pl	PASS
pl	t68_case_glob.pl	PASS
pl	t69_arith_unary.pl	PASS
pl	t70_quoted_single.pl	PASS
zig	t01_print.zig	PASS
zig	t02_arith.zig	PASS
zig	t03_if_else.zig	PASS
zig	t04_while.zig	PASS
zig	t05_for_range.zig	PASS
zig	t06_for_items.zig	PASS
zig	t07_fn.zig	PASS
zig	t08_pointers.zig	PASS
zig	t09_string.zig	PASS
zig	t10_defer.zig	PASS
zig	t11_switch.zig	PASS
zig	t12_comptime_const.zig	PASS
zig	t13_const_cast.zig	PASS
zig	t14_unary.zig	PASS
rust	t01_hello.rs	PASS
rust	t02_let.rs	PASS
rust	t03_arith.rs	PASS
rust	t04_if_else.rs	PASS
rust	t05_while.rs	PASS
rust	t06_for_range.rs	PASS
rust	t07_cmp.rs	PASS
rust	t08_strings.rs	PASS
rust	t09_compound.rs	PASS
rust	t10_neg.rs	PASS
rust	t11_elseif.rs	PASS
rust	t12_deferred.rs	PASS
rust	t13_borrow_refuse.rs	SKIP
rust	t14_fn_refuse.rs	SKIP
rust	t15_string_refuse.rs	SKIP
rust	t16_match_refuse.rs	SKIP
rust	t17_vec_refuse.rs	SKIP
rust	t18_eprintln_refuse.rs	SKIP
rust	t19_float_refuse.rs	SKIP
rust	t20_method_refuse.rs	SKIP
rust	t21_debugfmt_refuse.rs	SKIP
rust	t22_loop_refuse.rs	SKIP
rust	t23_index_refuse.rs	SKIP
rust	t24_print.rs	PASS
rust	t25_return.rs	PASS
rust	t26_arith_expr.rs	PASS
rust	t27_sub.rs	PASS
rust	t28_mul.rs	PASS
rust	t29_div.rs	PASS
rust	t30_rem.rs	PASS
powershell	t01_echo.ps1	PASS
powershell	t02_braced_variable.ps1	PASS
powershell	t03_cast.ps1	PASS
powershell	t04_invocation_operator.ps1	PASS
powershell	t05_concatenated_argument.ps1	PASS
powershell	t06_do_statement.ps1	PASS
powershell	t07_if_else.ps1	PASS
powershell	t08_empty_statement.ps1	PASS
powershell	t09_expandable_bareword.ps1	PASS
powershell	t10_here_string.ps1	PASS
powershell	t11_exit.ps1	PASS
powershell	t12_for_condition.ps1	PASS
powershell	t13_foreach.ps1	PASS
powershell	t14_format.ps1	PASS
powershell	t15_generic_type_arguments.ps1	PASS
powershell	t16_hexadecimal_integer_literal.ps1	PASS
powershell	t17_format_expression.ps1	PASS
powershell	t18_label.ps1	PASS
powershell	t19_merging_redirection.ps1	PASS
powershell	t20_null_coalesce.ps1	PASS
powershell	t21_null_coalesce_expression.ps1	PASS
powershell	t22_param_block.ps1	PASS
powershell	t23_path_command_name.ps1	PASS
powershell	t24_range.ps1	PASS
powershell	t25_range_expression.ps1	PASS
powershell	t26_pipeline_chain.ps1	PASS
powershell	t27_real_literal.ps1	PASS
go	t01_literal.go	PASS
powershell	t28_requires_directive.ps1	PASS
go	t01_print.go	PASS
go	t02_assign_str.go	PASS
go	t03_assign_num.go	PASS
powershell	t29_stop_parsing.ps1	PASS
go	t04_print_var.go	PASS
go	t05_env_read.go	PASS
go	t06_two_vars.go	PASS
go	t07_reassign.go	PASS
powershell	t30_sub_expression.ps1	PASS
go	t08_comment.go	PASS
go	t09_quoted_space.go	PASS
go	t10_multi_stmt.go	PASS
go	t11_external_cmd.go	PASS
powershell	t31_switch.ps1	PASS
go	t12_multi_word_echo.go	PASS
go	t13_interp.go	PASS
go	t14_arith_add.go	PASS
go	t15_arith_mul.go	PASS
go	t16_if_cond.go	PASS
go	t17_if_else.go	PASS
go	t18_elif_chain.go	PASS
go	t19_while_loop.go	PASS
go	t20_for_list.go	PASS
go	t21_array.go	PASS
go	t22_func_def.go	PASS
go	t23_func_args.go	PASS
go	t24_str_cat.go	PASS
go	t25_num_cmp.go	PASS
go	t26_str_cmp.go	PASS
go	t27_not_expr.go	PASS
go	t28_and_or.go	PASS
go	t29_increment.go	PASS
go	t30_ternary.go	PASS
go	t31_case_switch.go	PASS
go	t32_redirect.go	PASS
go	t33_pipe.go	PASS
go	t34_cmdsub.go	PASS
go	t35_exit_code.go	PASS
go	t36_read_stdin.go	PASS
go	t37_substring.go	PASS
go	t38_strlen.go	PASS
go	t39_arrlen.go	PASS
go	t40_nested_loop.go	PASS
go	t41_local_var.go	PASS
zsh	t01_echo.zsh	PASS
zsh	t01_literal.zsh	PASS
go	t42_global_mut.go	PASS
zsh	t02_assign_str.zsh	PASS
zsh	t03_assign_num.zsh	PASS
zsh	t04_print_var.zsh	PASS
go	t43_heredoc.go	PASS
zsh	t05_env_read.zsh	PASS
zsh	t06_two_vars.zsh	PASS
zsh	t07_reassign.zsh	PASS
zsh	t08_comment.zsh	PASS
go	t44_background.go	PASS
zsh	t09_quoted_space.zsh	PASS
zsh	t10_multi_stmt.zsh	PASS
zsh	t11_external_cmd.zsh	PASS
go	t45_env_set.go	PASS
zsh	t12_multi_word_echo.zsh	PASS
zsh	t13_interp.zsh	PASS
go	t46_printf.go	PASS
zsh	t14_arith_add.zsh	PASS
zsh	t15_arith_mul.zsh	PASS
zsh	t16_if_cond.zsh	PASS
go	t47_multi_assign.go	PASS
zsh	t17_if_else.zsh	PASS
zsh	t18_elif_chain.zsh	PASS
go	t48_accum.go	PASS
zsh	t19_while_loop.zsh	PASS
zsh	t20_for_list.zsh	PASS
zsh	t21_array.zsh	PASS
go	t49_empty_check.go	PASS
zsh	t22_func_def.zsh	PASS
zsh	t23_func_args.zsh	PASS
zsh	t24_str_cat.zsh	PASS
go	t50_file_test.go	PASS
zsh	t25_num_cmp.zsh	PASS
zsh	t26_str_cmp.zsh	PASS
zsh	t27_not_expr.zsh	PASS
go	t51_arith_loop.go	PASS
zsh	t28_and_or.zsh	PASS
zsh	t29_increment.zsh	PASS
c	t01_printf.c	PASS
zsh	t30_ternary.zsh	PASS
go	t52_full_prog.go	PASS
c	t02_assign.c	PASS
zsh	t31_case_switch.zsh	PASS
zsh	t32_redirect.zsh	PASS
c	t03_arith.c	PASS
zsh	t33_pipe.zsh	PASS
go	t53_os_exec.go	PASS
c	t04_if_else.c	PASS
zsh	t34_cmdsub.zsh	PASS
zsh	t35_exit_code.zsh	PASS
powershell	t01_echo.ps1	PASS
c	t05_while.c	PASS
go	t53_param_default.go	PASS
zsh	t36_read_stdin.zsh	PASS
c	t06_for.c	PASS
zsh	t37_substring.zsh	PASS
zsh	t38_strlen.zsh	PASS
c	t07_cmp.c	PASS
go	t54_map.go	PASS
zsh	t39_arrlen.zsh	PASS
zsh	t40_nested_loop.zsh	PASS
c	t08_pointer.c	PASS
zsh	t41_local_var.zsh	PASS
go	t54_str_subst.go	PASS
c	t09_pointer_alias.c	PASS
zsh	t42_global_mut.zsh	PASS
zsh	t43_heredoc.zsh	PASS
c	t10_string_pointer.c	PASS
go	t55_array_elem.go	PASS
c	t11_array_pointer.c	PASS
powershell	t02_braced_variable.ps1	PASS
c	t12_scalar_alias.c	PASS
go	t55_filepath.go	PASS
c	t13_strlen.c	PASS
c	t14_atoi.c	PASS
go	t56_array_append.go	PASS
c	t15_for_arith.c	PASS
zsh	t44_background.zsh	PASS
c	t16_strcmp.c	PASS
go	t56_bytes.go	PASS
zsh	t45_env_set.zsh	PASS
zsh	t46_printf.zsh	PASS
c	t17_func_call.c	PASS
powershell	t03_cast.ps1	PASS
zsh	t47_multi_assign.zsh	PASS
go	t57_array_len.go	PASS
c	t18_mixed_format.c	PASS
zsh	t48_accum.zsh	PASS
zsh	t49_empty_check.zsh	PASS
c	t19_malloc.c	PASS
zsh	t50_file_test.zsh	PASS
go	t57_strings_ops.go	PASS
zsh	t51_arith_loop.zsh	PASS
c	t20_switch.c	PASS
zsh	t52_full_prog.zsh	PASS
